'American University', 0.9187088576871149
'Binghamton University--SUNY', 0.5894064265123067
'Brigham Young University--Provo', 0.669484468996761
'Brown University', 0.9418455951183274
'Columbia University', 0.48358631024958354
'Duke University', 0.7844581262021771
'Emory University', 0.6816186844963633
'Florida State University', 0.6367566248846697
'George Washington University', 0.7325883212365433
'Illinois Institute of Technology', 0.6866721926034398
'Johns Hopkins University', 0.5995480335817396
'New York University', 0.6334497524189127
'Northeastern University', 0.6370923106529117
'Northwestern University', 0.5798785295282168
'Rutgers University--New Brunswick', 0.780163909753971
'Southern Methodist University', 0.6124327360824525
'Stanford University', 0.7179923678602911
'Stevens Institute of Technology', 0.38643423971206653
'Syracuse University', 0.8154965030229174
'Tufts University', 0.4959296981875082
'University at Buffalo--SUNY', 0.8834379511104169
'University of California--Berkeley', 0.5282749071702015
'University of California--Los Angeles', 0.7876488415757056
'University of California--Riverside', 1.0
'University of California--San Diego', 0.7622799377702708
'University of Colorado--Boulder', 0.5484062835061383
'University of Delaware', 0.8949131750620325
'University of Denver', 0.8912807909987058
'University of Illinois--Urbana-Champaign', 0.570503988916994
'University of Maryland--College Park', 0.5615093578318694
'University of Massachusetts--Amherst', 0.6238839124089364
'University of Minnesota--Twin Cities', 0.6579011262707538
'University of Notre Dame', 0.3876458825347447
'University of Pennsylvania', 0.6392613680086278
'University of Rochester', 0.5802939230292044
'University of San Francisco', 0.5610075837543333
'University of Southern California', 0.6432575779971091
'University of Virginia', 0.5239590371929167
'University of Washington', 0.5500308331995585
'University of Wisconsin--Madison', 0.6767232863926503
'Vanderbilt University', 0.5512773744927999
'Washington University in St. Louis', 0.5844168087025233
'Worcester Polytechnic Institute', 0.8088658294578052
